epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,10203.7,0.46261,0.26626,0.88262,0.94377,0.84138,0.8366,0.68413,0.55376,0.24659,0.89809,0.000203591,0.000203591,0.000203591
167,10263.4,0.46293,0.2611,0.87371,0.94667,0.83585,0.83657,0.68511,0.56262,0.25086,0.90268,0.000198091,0.000198091,0.000198091
168,10321.9,0.45761,0.25866,0.87325,0.91722,0.84138,0.83682,0.68419,0.55942,0.24324,0.90334,0.000192592,0.000192592,0.000192592
169,10385.1,0.45699,0.25592,0.87571,0.92551,0.83402,0.83327,0.67922,0.56953,0.24893,0.90398,0.000187092,0.000187092,0.000187092
170,10448.5,0.44512,0.25245,0.87179,0.94048,0.83612,0.83697,0.67926,0.56518,0.24356,0.90744,0.000181593,0.000181593,0.000181593
171,10511.9,0.45332,0.25822,0.8768,0.98581,0.84033,0.839,0.68819,0.55357,0.23687,0.89984,0.000176094,0.000176094,0.000176094
172,10573.4,0.45382,0.25581,0.86794,0.97604,0.83114,0.83702,0.69044,0.56035,0.24457,0.90179,0.000170594,0.000170594,0.000170594
173,10632.3,0.45674,0.25644,0.8747,0.95561,0.84015,0.83779,0.69334,0.53875,0.23458,0.89335,0.000165095,0.000165095,0.000165095
174,10691,0.44773,0.24967,0.86829,0.91373,0.84066,0.8362,0.68221,0.55336,0.24132,0.89786,0.000159595,0.000159595,0.000159595
175,10749.8,0.43973,0.24459,0.86447,0.94965,0.84016,0.8376,0.68818,0.5578,0.25017,0.89837,0.000154096,0.000154096,0.000154096
176,10808.4,0.44215,0.2544,0.87313,0.92267,0.83393,0.83609,0.68417,0.55646,0.24574,0.89972,0.000148596,0.000148596,0.000148596
