STT,Sản phẩm,Kết quả,Thời gian
11,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 7 viên (chỉ thấy 3/10 viên) | Thiếu viên trong ô: 1 ô | Nứt/Vỡ: 1 viên | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 3 viên,   • Vỉ bị cắt: thiếu 7 viên (chỉ thấy 3/10 viên),   • Thiếu viên trong ô: 1 ô,   • Nứt/Vỡ: 1 viên,   • Dị vật: 1 chỗ",2026-04-29 23:12:39
12,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 5 viên (chỉ thấy 5/10 viên) | Thiếu viên trong ô: 4 ô - Vỉ chuẩn: 10 viên | Phát hiện: 5 viên,   • Vỉ bị cắt: thiếu 5 viên (chỉ thấy 5/10 viên),   • Thiếu viên trong ô: 4 ô",2026-04-29 23:13:10
13,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) | Dị vật: 2 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên),   • Dị vật: 2 chỗ",2026-04-29 23:14:42
14,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-29 23:16:29
15,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 8 viên (chỉ thấy 2/10 viên) | Thiếu viên trong ô: 1 ô | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 2 viên,   • Vỉ bị cắt: thiếu 8 viên (chỉ thấy 2/10 viên),   • Thiếu viên trong ô: 1 ô,   • Dị vật: 1 chỗ",2026-04-29 23:18:02
16,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên) | Thiếu viên trong ô: 7 ô - Vỉ chuẩn: 10 viên | Phát hiện: 8 viên,   • Vỉ bị cắt: thiếu 2 viên (chỉ thấy 8/10 viên),   • Thiếu viên trong ô: 7 ô",2026-04-29 23:18:22
17,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 10 viên (chỉ thấy 0/10 viên) | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 0 viên,   • Vỉ bị cắt: thiếu 10 viên (chỉ thấy 0/10 viên),   • Dị vật: 1 chỗ",2026-04-29 23:19:07
18,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 10 viên (chỉ thấy 0/10 viên) | Dị vật: 1 chỗ - Vỉ chuẩn: 10 viên | Phát hiện: 0 viên,   • Vỉ bị cắt: thiếu 10 viên (chỉ thấy 0/10 viên),   • Dị vật: 1 chỗ",2026-04-29 23:19:36
19,Vỉ thuốc,[OK] CHỜ VẬT THỂ,2026-04-29 23:20:00
20,Vỉ thuốc,[OK] CHỜ VẬT THỂ,2026-04-29 23:21:14
